listing_id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,color,doors
BMW100000,4 Series,2006,7114.12,Automatic,213994,Diesel,145,37.7,2.5,Red,4
BMW100001,3 Series,2018,31369.52,Manual,64151,Hybrid,205,31,2.5,Green,4
BMW100002,M2,2015,41810.79,Manual,112178,Diesel,30,41.8,2,Black,4
BMW100003,3 Series,2018,28074.49,Manual,68162,Diesel,30,52.2,1.5,Silver,3
BMW100004,3 Series,2007,13480.2,Automatic,206550,Diesel,30,28.3,3.5,Red,3
BMW100005,Z4,2007,11146.87,Manual,205930,Petrol,145,37.6,1.5,Silver,5
BMW100006,2 Series,2009,16440.63,Automatic,181476,DIESEL,125,47.6,2,Grey,5
BMW100007,X2,2011,14698.83,Manual,158298,Petrol,20,35,1.5,White,2
BMW100008, 2 Series ,2006,9412.83,Automatic,218864,Diesel,145,63.4,,Grey,5
BMW100009,X1,2021,48130,Automatic,40894,Electric,145,48.3,1.6,Grey,5
BMW100010,4 Series,2019,34103.04,Semi-Auto,58935,DIESEL,145,44.7,2.5,,5
BMW100011,2 Series,2007,18982.57,Manual,182022,Diesel,125,41.7,,Blue,4
BMW100012,i3,2020,36306.19,Automatic,44444,Hybrid,30,38.1,2,Red,4
BMW100013,M4,2023,65033.91,Manual,15053,Diesel,0,,2,White,4
BMW100014,6 Series,2014,29277.56,Automatic,114078,Petrol,,,3,Red,5
BMW100015,X4,2006,11389.1,manual,219278,Diesel,30,38.7,3,White,5
BMW100016,X5,2007,17961,Semi-Auto,212079,Diesel,150,,1.6,Blue,4
BMW100017,5 Series,2016,25560.99,Manual,96803,Diesel,0,39.4,2,Grey,5
BMW100018,X5,2021,60605.18,Automatic,28040,Petrol,145,40.4,2,Grey,5
BMW100019,M5,2013,38111.67,Semi-Auto,136476,Petrol,30,28,2,Black,4
BMW100020,1 Series,2008,13378.98,Semi-Auto,176224,Diesel,125,40.4,1.5,Silver,4
BMW100021,1 Series,2017,36042.51,Automatic,82855,Diesel,125,24.9,4.4,White,4
BMW100022,5 Series,2014,22109.31,Manual,114653,Diesel,145,44.2,1.6,Grey,3
BMW100023,3 Series,2009,9435.17,Semi-Auto,180581,Diesel,125,42.1,1.5,White,4
BMW100024,X1,2022,43752.67,Manual,28228,Diesel,0,31.9,3,Green,4
BMW100025,3 Series,2011,18524.23,Manual,159367,Diesel,145,50.4,1.6,Red,5
BMW100026,2 Series,2023,45998.06,Automatic,15652,Petrol,145,31.3,3,Silver,5
BMW100027,4 Series,2015,20181.78,Automatic,107945,Petrol,30,43.1,1.5,Red,3
BMW100028,5 Series,2018,35977.47,Automatic,58953,Diesel,145,0,2.5,Grey,3
BMW100029,1 Series,2020,32326.58,Manual,,Diesel,125,38.5,2,Blue,5
BMW100030,3 Series,2010,15456.02,Automatic,167266,Hybrid,20,23.8,1.5,,5
BMW100031,5 Series,2007,9542.34,Automatic,202409,Diesel,150,33.8,2,Grey,2
BMW100032,3 Series,2012,24147.81,Semi-Auto,142021,Petrol,150,36,3,Black,5
BMW100033,X1,2009,16419.98,Semi-Auto,184351,Diesel,150,31,3.5,Black,4
BMW100034,X3,2008,16692.14,Manual,195118,Diesel,30,17.8,3,Black,2
BMW100035,X1,2019,34020.69,Manual,64452,Petrol,,29.2,2.5,Blue,4
BMW100036,X1,2015,23815.24,Automatic,123763,Petrol,125,31.2,2.5,Black,4
BMW100037,1 Series,2013,28033.66,Automatic,141270,Hybrid,125,17.7,4.4,White,4
BMW100038,1 Series,2011,17398.61,MANUAL,145022,Petrol,30,39.6,2,,5
BMW100039,X1,2017,28956.91,Semi-Auto,93819,Petrol,205,46,1.5,Grey,4
BMW100040,7 Series,2014,41744.1,Manual,113107,Diesel,125,41.4,2.5,Green,4
BMW100041,3 Series,2011,20460.64,Semi-Auto,152388,Petrol,125,46.6,3,Grey,4
BMW100042,2 Series,2022,37052.56,Semi-Auto,48815,Petrol,,42.9,2,Blue,5
BMW100043,7 Series,2008,27237.61,Semi-Auto,209537,Diesel,125,15.7,3,Green,2
BMW100044,5 Series,2007,12093.08,Automatic,214465,Petrol,125,27.8,3.5,White,4
BMW100045,3 Series,2017,27584.47,Semi-Auto,82089,Diesel,125,41.4,2,White,3
BMW100046,X5,2016,40241.24,Manual,103360,Petrol,30,41.7,2,Red,2
BMW100047,3 Series,2022,36759.79,Manual,33019,Diesel,150,37.1,1.5,Red,4
BMW100048,5 Series,2018,44570.24,Automatic,70148,Electric,0,50.6,2,Black,4
BMW100049,X3,2014,28355.47,Automatic,105366,Petrol,30,21.6,2.5,Green,4
BMW100050,2 Series,2014,25044.6,Automatic,124152,Petrol,125,54.7,1.5,Silver,3
BMW100051,Z4,2016,26075.17,Semi-Auto,97686,petrol,150,15,2,Black,3
BMW100052,5 Series,2012,18442.61,Automatic,123102,Hybrid,150,32.9,2,Grey,4
BMW100053,5 Series,2008,6223.48,Semi-Auto,200456,Diesel,145,40.9,2.5,Blue,4
BMW100054,X3,2008,13777.24,Manual,202795,  Diesel  ,145,0,3,,4
BMW100055,5 Series,2020,40454.17,Automatic,64206,Diesel,205,36.7,3.5,White,3
BMW100056,1 Series,2009,,Semi-Auto,175871,Petrol,205,40.7,2,Grey,4
BMW100057,6 Series,2012,21333.97,Manual,147586,Petrol,235,39.5,2,Grey,4
BMW100058,7 Series,2008,,Automatic,201319,Petrol,150,37.3,1.5,Green,4
BMW100059,Z4,2006,4897.41,Semi-Auto,214047,Petrol,125,29.7,1.5,Black,5
BMW100060,X1,2019,28708.48,Automatic,83969,Petrol,125,41.9,2,,4
BMW100061,3 Series,2016,27268.18,Automatic,92865,Petrol,30,30.8,2,Blue,4
BMW100062,3 Series,2013,25762.49,Automatic,142428,Diesel,205,20.4,3.5,Grey,4
BMW100063,X3,2005,2011.66,Automatic,226079,Diesel,0,53.2,1.5,Grey,4
BMW100064,6 Series,2005,4758.61,  Semi-Auto  ,228391,Petrol,150,32.2,2,Grey,5
BMW100065,3 Series,2011,21619.52,Automatic,169105,Diesel,205,29.3,3,Blue,4
BMW100066,1 Series,2013,23498.86,Automatic,124442,Petrol,125,29.3,2,Silver,4
BMW100067,X3,2016,31923.98,Semi-Auto,88369,Petrol,20,37.6,2.5,Red,5
BMW100068,5 Series,2016,24792.94,Semi-Auto,106471,Diesel,235,37.7,1.5,Silver,3
